[C++][time] log reset
[C++][time] create engine, model=/data3/ledi/models/DeepSeek-R1-Distill-Qwen-7B, max_seq=800
[C++][time] prefill token 0 forward_ms=23.4632
[C++][time] prefill token 1 forward_ms=22.8091
[C++][time] prefill token 2 forward_ms=22.8238
[C++][time] prefill token 3 forward_ms=22.8138
[C++][time] prefill token 4 forward_ms=22.823
[C++][time] prefill token 5 forward_ms=22.84
[C++][time] prefill token 6 forward_ms=22.8624
[C++][time] prefill token 7 forward_ms=22.8325
[C++][time] prefill token 8 forward_ms=22.8578
[C++][time] prefill token 9 forward_ms=22.872
[C++][time] prefill token 10 forward_ms=22.8857
[C++][time] prefill token 11 forward_ms=22.8767
[C++][time] prefill token 12 forward_ms=22.8847
[C++][time] prefill total_ms=298.068, tokens=13, tokens_per_s=43.6143
[C++][time] decode step_ms=23.2777, sample_ms=0.368571, forward_ms=22.9002, decode_tokens=1, decode_tokens_per_s=42.9596
[C++][time] decode step_ms=23.2417, sample_ms=0.322074, forward_ms=22.9122, decode_tokens=2, decode_tokens_per_s=42.9928
[C++][time] decode step_ms=23.2072, sample_ms=0.319177, forward_ms=22.8817, decode_tokens=3, decode_tokens_per_s=43.0252
[C++][time] decode step_ms=23.2223, sample_ms=0.318179, forward_ms=22.8973, decode_tokens=4, decode_tokens_per_s=43.0344
[C++][time] decode step_ms=23.2425, sample_ms=0.319464, forward_ms=22.9169, decode_tokens=5, decode_tokens_per_s=43.0324
[C++][time] decode step_ms=23.2649, sample_ms=0.325701, forward_ms=22.9328, decode_tokens=6, decode_tokens_per_s=43.0242
[C++][time] decode step_ms=23.2462, sample_ms=0.319833, forward_ms=22.9202, decode_tokens=7, decode_tokens_per_s=43.0233
[C++][time] decode step_ms=23.2545, sample_ms=0.324312, forward_ms=22.9238, decode_tokens=8, decode_tokens_per_s=43.0207
[C++][time] decode step_ms=23.2681, sample_ms=0.317507, forward_ms=22.9447, decode_tokens=9, decode_tokens_per_s=43.0159
[C++][time] decode step_ms=23.2791, sample_ms=0.316699, forward_ms=22.9564, decode_tokens=10, decode_tokens_per_s=43.01
[C++][time] decode step_ms=23.2535, sample_ms=0.319317, forward_ms=22.9281, decode_tokens=11, decode_tokens_per_s=43.0095
[C++][time] decode step_ms=23.2709, sample_ms=0.317581, forward_ms=22.9474, decode_tokens=12, decode_tokens_per_s=43.0063
[C++][time] decode step_ms=23.2938, sample_ms=0.316425, forward_ms=22.9715, decode_tokens=13, decode_tokens_per_s=43.0004
[C++][time] decode step_ms=23.3048, sample_ms=0.315888, forward_ms=22.9831, decode_tokens=14, decode_tokens_per_s=42.9939
[C++][time] decode step_ms=23.3084, sample_ms=0.321192, forward_ms=22.9813, decode_tokens=15, decode_tokens_per_s=42.9879
[C++][time] decode step_ms=23.3085, sample_ms=0.326215, forward_ms=22.9746, decode_tokens=16, decode_tokens_per_s=42.9825
[C++][time] decode step_ms=23.3316, sample_ms=0.319298, forward_ms=23.0056, decode_tokens=17, decode_tokens_per_s=42.9753
[C++][time] decode step_ms=23.3466, sample_ms=0.324418, forward_ms=23.0155, decode_tokens=18, decode_tokens_per_s=42.9674
[C++][time] decode step_ms=23.3086, sample_ms=0.322718, forward_ms=22.9796, decode_tokens=19, decode_tokens_per_s=42.964
[C++][time] decode step_ms=23.3116, sample_ms=0.316202, forward_ms=22.9897, decode_tokens=20, decode_tokens_per_s=42.9606
[C++][time] decode step_ms=23.3288, sample_ms=0.316952, forward_ms=23.006, decode_tokens=21, decode_tokens_per_s=42.9561
[C++][time] decode step_ms=23.3415, sample_ms=0.31681, forward_ms=23.0189, decode_tokens=22, decode_tokens_per_s=42.9509
[C++][time] decode step_ms=23.3239, sample_ms=0.32291, forward_ms=22.9943, decode_tokens=23, decode_tokens_per_s=42.9476
[C++][time] decode step_ms=23.3328, sample_ms=0.317343, forward_ms=23.0095, decode_tokens=24, decode_tokens_per_s=42.9438
[C++][time] decode step_ms=23.3432, sample_ms=0.316866, forward_ms=23.0202, decode_tokens=25, decode_tokens_per_s=42.9396
[C++][time] decode step_ms=23.3609, sample_ms=0.319059, forward_ms=23.0358, decode_tokens=26, decode_tokens_per_s=42.9345
[C++][time] decode step_ms=23.3292, sample_ms=0.318207, forward_ms=23.0051, decode_tokens=27, decode_tokens_per_s=42.9319
[C++][time] decode step_ms=23.3627, sample_ms=0.332425, forward_ms=23.0231, decode_tokens=28, decode_tokens_per_s=42.9273
[C++][time] decode step_ms=23.3591, sample_ms=0.320216, forward_ms=23.0327, decode_tokens=29, decode_tokens_per_s=42.9232
[C++][time] decode step_ms=23.382, sample_ms=0.316858, forward_ms=23.059, decode_tokens=30, decode_tokens_per_s=42.918
[C++][time] decode step_ms=23.3483, sample_ms=0.316015, forward_ms=23.026, decode_tokens=31, decode_tokens_per_s=42.9152
[C++][time] decode step_ms=23.3701, sample_ms=0.323363, forward_ms=23.0403, decode_tokens=32, decode_tokens_per_s=42.9113
[C++][time] decode step_ms=23.3753, sample_ms=0.317614, forward_ms=23.0516, decode_tokens=33, decode_tokens_per_s=42.9073
[C++][time] decode step_ms=23.3885, sample_ms=0.316275, forward_ms=23.0663, decode_tokens=34, decode_tokens_per_s=42.9028
[C++][time] decode step_ms=23.3574, sample_ms=0.315721, forward_ms=23.0359, decode_tokens=35, decode_tokens_per_s=42.9002
[C++][time] decode step_ms=23.3723, sample_ms=0.321642, forward_ms=23.0446, decode_tokens=36, decode_tokens_per_s=42.8971
[C++][time] decode step_ms=23.3888, sample_ms=0.316647, forward_ms=23.0657, decode_tokens=37, decode_tokens_per_s=42.8932
[C++][time] decode step_ms=23.4016, sample_ms=0.322672, forward_ms=23.0727, decode_tokens=38, decode_tokens_per_s=42.889
[C++][time] decode step_ms=23.3787, sample_ms=0.316848, forward_ms=23.0562, decode_tokens=39, decode_tokens_per_s=42.886
[C++][time] decode step_ms=23.3978, sample_ms=0.316774, forward_ms=23.0748, decode_tokens=40, decode_tokens_per_s=42.8823
[C++][time] decode step_ms=23.4115, sample_ms=0.317876, forward_ms=23.0871, decode_tokens=41, decode_tokens_per_s=42.8782
[C++][time] decode step_ms=23.4177, sample_ms=0.318803, forward_ms=23.0932, decode_tokens=42, decode_tokens_per_s=42.874
[C++][time] decode step_ms=23.3958, sample_ms=0.316741, forward_ms=23.0729, decode_tokens=43, decode_tokens_per_s=42.8709
[C++][time] decode step_ms=23.4095, sample_ms=0.318792, forward_ms=23.0847, decode_tokens=44, decode_tokens_per_s=42.8674
[C++][time] decode step_ms=23.4489, sample_ms=0.327363, forward_ms=23.1147, decode_tokens=45, decode_tokens_per_s=42.8625
[C++][time] decode step_ms=23.447, sample_ms=0.319477, forward_ms=23.1213, decode_tokens=46, decode_tokens_per_s=42.8578
[C++][time] decode step_ms=23.4279, sample_ms=0.321351, forward_ms=23.1005, decode_tokens=47, decode_tokens_per_s=42.8541
[C++][time] decode step_ms=23.44, sample_ms=0.325891, forward_ms=23.108, decode_tokens=48, decode_tokens_per_s=42.8501
[C++][time] decode step_ms=23.456, sample_ms=0.323738, forward_ms=23.1258, decode_tokens=49, decode_tokens_per_s=42.8457
[C++][time] decode step_ms=23.4635, sample_ms=0.318368, forward_ms=23.139, decode_tokens=50, decode_tokens_per_s=42.8411
[C++][time] decode step_ms=23.4311, sample_ms=0.316681, forward_ms=23.1086, decode_tokens=51, decode_tokens_per_s=42.8379
[C++][time] decode step_ms=23.4453, sample_ms=0.31644, forward_ms=23.1225, decode_tokens=52, decode_tokens_per_s=42.8343
[C++][time] decode step_ms=23.4619, sample_ms=0.321644, forward_ms=23.1338, decode_tokens=53, decode_tokens_per_s=42.8303
[C++][time] decode step_ms=23.4745, sample_ms=0.317862, forward_ms=23.1503, decode_tokens=54, decode_tokens_per_s=42.826
[C++][time] decode step_ms=23.4582, sample_ms=0.320796, forward_ms=23.1311, decode_tokens=55, decode_tokens_per_s=42.8224
[C++][time] decode step_ms=23.4747, sample_ms=0.32119, forward_ms=23.1473, decode_tokens=56, decode_tokens_per_s=42.8184
[C++][time] decode step_ms=23.4862, sample_ms=0.317936, forward_ms=23.1622, decode_tokens=57, decode_tokens_per_s=42.8142
[C++][time] decode step_ms=23.5118, sample_ms=0.333194, forward_ms=23.172, decode_tokens=58, decode_tokens_per_s=42.8093
